zip,county,state
00683,72125,PR
00683,72079,PR
00683,72023,PR
00683,72097,PR
00683,72121,PR
00923,72127,PR
01010,25013,MA
01010,25027,MA
01257,25003,MA
01267,25003,MA
01331,25011,MA
01331,25027,MA
01339,25015,MA
01339,25011,MA
01469,25017,MA
02027,25021,MA
02120,25025,MA
02128,25025,MA
02199,25025,MA
02361,25023,MA
02664,25001,MA
02668,25001,MA
02648,25001,MA
02739,25023,MA
02895,44007,RI
03281,33011,NH
03281,33013,NH
03743,33019,NH
03592,33007,NH
03605,33019,NH
03886,33003,NH
03884,33017,NH
03884,33015,NH
04357,23023,ME
04357,23011,ME
04649,23029,ME
04627,23009,ME
04562,23023,ME
04921,23027,ME
04921,23019,ME
04548,23023,ME
05038,50017,VT
05474,50013,VT
05679,50017,VT
05651,50023,VT
05763,50021,VT
05738,50021,VT
05874,50019,VT
06042,09013,CT
06042,09003,CT
06052,09003,CT
06010,09005,CT
06010,09003,CT
05905,50009,VT
06060,09003,CT
06078,09003,CT
06108,09003,CT
06468,09001,CT
06787,09005,CT
06880,09001,CT
06907,09001,CT
07010,34003,NJ
07110,34031,NJ
07110,34013,NJ
07462,34037,NJ
07645,34003,NJ
07607,34003,NJ
07758,34025,NJ
07849,34027,NJ
07849,34037,NJ
08046,34005,NJ
08099,34007,NJ
08401,34001,NJ
08559,34019,NJ
08820,34023,NJ
08820,34039,NJ
08880,34035,NJ
10005,36061,NY
10004,36061,NY
10038,36061,NY
10110,36061,NY
11210,36047,NY
11354,36081,NY
11358,36081,NY
11352,36081,NY
11375,36081,NY
11553,36059,NY
11716,36103,NY
11756,36059,NY
11950,36103,NY
10537,36119,NY
10537,36079,NY
10595,36119,NY
10916,36071,NY
10952,36087,NY
12037,36021,NY
12180,36083,NY
12139,36041,NY
12086,36057,NY
12086,36035,NY
12086,36091,NY
12115,36021,NY
12066,36093,NY
12066,36057,NY
12066,36095,NY
12205,36001,NY
12474,36025,NY
12786,36105,NY
12845,36113,NY
12832,36115,NY
12944,36031,NY
12944,36019,NY
12989,36033,NY
12989,36031,NY
13478,36065,NY
13761,36007,NY
14086,36029,NY
14212,36029,NY
14560,36069,NY
14560,36051,NY
14513,36069,NY
14513,36117,NY
14616,36055,NY
14621,36055,NY
14903,36015,NY
15076,42003,PA
15139,42003,PA
